text	draw	discard
1m	3188443	4472063
2m	3208037	3122356
3m	3221533	2245377
4m	3220062	1931549
r5m	809998	255913
5m	2412657	1486210
6m	3217136	1926541
7m	3219543	2234629
8m	3204292	3106996
9m	3186104	4459161
1p	3187843	4497295
2p	3204790	3147947
3p	3221831	2257572
4p	3221434	1942731
r5p	811638	259152
5p	2414508	1493621
6p	3219626	1939332
7p	3221399	2254349
8p	3205239	3138893
9p	3186068	4489602
1s	3186973	4507184
2s	3205334	3167555
3s	3219460	2275422
4s	3223026	1958943
r5s	809232	261630
5s	2413264	1505872
6s	3219998	1959792
7s	3220514	2269201
8s	3206017	3144995
9s	3187524	4498735
東	3200043	5192008
南	3199508	5225071
西	3188735	5430804
北	3187263	5430441
白	3210763	5011971
發	3213675	5016137
中	3210896	4998142
