text	draw	discard
1m	838158	1415054
2m	0	0
3m	0	0
4m	0	0
r5m	0	0
5m	0	0
6m	0	0
7m	0	0
8m	0	0
9m	837957	1412951
1p	843793	952742
2p	846310	679287
3p	852759	490062
4p	852107	433443
r5p	213061	66087
5p	638499	350226
6p	849855	432823
7p	852646	492155
8p	846946	680271
9p	844747	954175
1s	843461	959846
2s	845940	685562
3s	852133	495359
4s	851947	438265
r5s	214180	67568
5s	637768	353095
6s	849785	437672
7s	852456	496059
8s	847232	683631
9s	845763	962585
東	845908	1245895
南	845900	1265028
西	842972	1323521
北	834502	26769
白	847830	1202255
發	847253	1205388
中	848004	1200572
