1m	482729	0.0175664
2m	835107	0.0303893
3m	1063951	0.0387169
4m	1113112	0.0405058
r5m	332058	0.0120835
5m	817449	0.0297467
6m	1112360	0.0404785
7m	1065289	0.0387656
8m	835455	0.030402
9m	484363	0.0176258
1p	482334	0.017552
2p	833819	0.0303424
3p	1063961	0.0387172
4p	1109953	0.0403909
r5p	333865	0.0121493
5p	816095	0.0296975
6p	1112742	0.0404924
7p	1064339	0.038731
8p	835877	0.0304173
9p	483634	0.0175993
1s	478509	0.0174128
2s	829480	0.0301845
3s	1059000	0.0385367
4s	1109757	0.0403837
r5s	332463	0.0120982
5s	815364	0.0296709
6s	1109777	0.0403845
7s	1061968	0.0386447
8s	831903	0.0302727
9s	478773	0.0174224
東	441625	0.0160706
南	423060	0.015395
西	315875	0.0114946
北	309042	0.011246
白	535349	0.0194812
發	532848	0.0193902
中	537003	0.0195414
	27480288
