1m	111565	0.0131004
2m	0	0
3m	0	0
4m	0	0
r5m	0	0
5m	0	0
6m	0	0
7m	0	0
8m	0	0
9m	111857	0.0131347
1p	249737	0.029325
2p	343968	0.04039
3p	419818	0.0492966
4p	424054	0.049794
r5p	120416	0.0141397
5p	309905	0.0363902
6p	422476	0.0496087
7p	419314	0.0492374
8p	344372	0.0404374
9p	249525	0.0293001
1s	246610	0.0289578
2s	342233	0.0401862
3s	417455	0.0490191
4s	423010	0.0496714
r5s	119819	0.0140696
5s	308067	0.0361744
6s	422910	0.0496596
7s	418819	0.0491793
8s	343433	0.0403272
9s	247537	0.0290667
東	195586	0.0229664
南	185543	0.0217871
西	153913	0.018073
北	512036	0.0601251
白	217319	0.0255184
發	217325	0.0255191
中	217550	0.0255455
	8516172
