1m	420310	0.0181084
2m	727221	0.0313312
3m	958866	0.0413113
4m	1011746	0.0435896
r5m	301609	0.0129944
5m	747107	0.032188
6m	1011099	0.0435617
7m	959942	0.0413577
8m	727955	0.0313629
9m	421473	0.0181585
1p	418793	0.0180431
2p	725167	0.0312427
3p	957982	0.0412732
4p	1007805	0.0434198
r5p	302746	0.0130434
5p	744687	0.0320837
6p	1009786	0.0435051
7p	957988	0.0412735
8p	727385	0.0313383
9p	419781	0.0180856
1s	415590	0.0179051
2s	720333	0.0310345
3s	952474	0.0410359
4s	1007111	0.0433899
r5s	301683	0.0129976
5s	744219	0.0320636
6s	1007273	0.0433969
7s	956453	0.0412074
8s	723791	0.0311835
9s	415500	0.0179012
東	196842	0.00848065
南	200064	0.00861946
西	188461	0.00811956
北	187711	0.00808725
白	212146	0.00914
發	210563	0.00907179
中	211070	0.00909364
	23210732
