1m	93321	0.0129941
2m	0	0
3m	0	0
4m	0	0
r5m	0	0
5m	0	0
6m	0	0
7m	0	0
8m	0	0
9m	93523	0.0130222
1p	228852	0.0318656
2p	327049	0.0455386
3p	410948	0.0572208
4p	415999	0.0579241
r5p	118105	0.0164451
5p	302978	0.042187
6p	414438	0.0577068
7p	410248	0.0571233
8p	327534	0.0456062
9p	228408	0.0318038
1s	226000	0.0314685
2s	325356	0.0453029
3s	408527	0.0568837
4s	414719	0.0577459
r5s	117496	0.0163603
5s	301111	0.041927
6s	414916	0.0577733
7s	409692	0.0570459
8s	326901	0.045518
9s	226417	0.0315265
東	104191	0.0145077
南	103858	0.0144613
西	98491	0.013714
北	5906	0.000822357
白	109175	0.0152016
發	108477	0.0151044
中	109157	0.0151991
	7181793
