1m	461413	0.0176743
2m	798268	0.0305774
3m	1029899	0.03945
4m	1082762	0.0414749
r5m	326783	0.0125173
5m	794100	0.0304178
6m	1082190	0.041453
7m	1031173	0.0394988
8m	798592	0.0305898
9m	463005	0.0177353
1p	460527	0.0176404
2p	796595	0.0305133
3p	1029747	0.0394442
4p	1079282	0.0413416
r5p	328450	0.0125812
5p	792463	0.0303551
6p	1082221	0.0414542
7p	1029664	0.039441
8p	798833	0.0305991
9p	461813	0.0176896
1s	456971	0.0175041
2s	792050	0.0303392
3s	1024818	0.0392554
4s	1079095	0.0413344
r5s	327046	0.0125274
5s	791535	0.0303195
6s	1079101	0.0413347
7s	1027795	0.0393694
8s	794909	0.0304488
9s	457166	0.0175116
東	362512	0.0138859
南	350930	0.0134423
西	275067	0.0105364
北	270236	0.0103513
白	430338	0.016484
發	428028	0.0163955
中	431073	0.0165121
	26106450
