1m	106477	0.0128811
2m	0	0
3m	0	0
4m	0	0
r5m	0	0
5m	0	0
6m	0	0
7m	0	0
8m	0	0
9m	106788	0.0129187
1p	243731	0.0294855
2p	339278	0.0410444
3p	417615	0.0505212
4p	422093	0.051063
r5p	119972	0.0145137
5p	308081	0.0372703
6p	420470	0.0508666
7p	417073	0.0504557
8p	339678	0.0410928
9p	243494	0.0294568
1s	240709	0.0291199
2s	337570	0.0408377
3s	415204	0.0502296
4s	420987	0.0509292
r5s	119407	0.0144453
5s	306170	0.0370391
6s	420927	0.0509219
7s	416483	0.0503843
8s	338839	0.0409913
9s	241538	0.0292202
東	166648	0.0201603
南	159752	0.0193261
西	136616	0.0165272
北	512035	0.0619437
白	182891	0.0221254
發	182581	0.0220878
中	183022	0.0221412
	8266129
